Time,State,Name,,,
2019/10/11 1:52,0,2_12_90_128_591,2019/10/11 1:52,0,0
2019/10/11 1:53,0,2_12_90_128_591,2019/10/11 1:53,0,0
2019/10/11 1:54,0,2_12_90_128_591,2019/10/11 1:54,0,0
2019/10/11 1:55,0,2_12_90_128_591,2019/10/11 1:55,0,0
2019/10/11 1:56,0,2_12_90_128_591,2019/10/11 1:56,0,0
2019/10/11 1:57,0,2_12_90_128_591,2019/10/11 1:57,0,0
2019/10/11 1:58,0,2_12_90_128_591,2019/10/11 1:58,0,0
2019/10/11 1:59,0,2_12_90_128_591,2019/10/11 1:59,0,0
2019/10/11 2:00,0,2_10_76_100_171,2019/10/11 2:00,0,0
2019/10/11 2:01,0,2_10_76_100_171,2019/10/11 2:01,0,0
2019/10/11 2:02,0,2_10_76_100_171,2019/10/11 2:02,0,0
2019/10/11 2:03,0,2_10_76_100_171,2019/10/11 2:03,0,0
2019/10/11 2:04,0,2_10_76_100_171,2019/10/11 2:04,0,0
2019/10/11 2:05,0,2_10_76_100_171,2019/10/11 2:05,0,0
2019/10/11 2:06,0,2_10_76_100_171,2019/10/11 2:06,0,0
2019/10/11 2:07,0,2_10_76_100_171,2019/10/11 2:07,0,0
2019/10/11 2:08,0,2_10_76_100_171,2019/10/11 2:08,0,0
2019/10/11 2:09,0,2_10_76_100_171,2019/10/11 2:09,0,0
2019/10/11 2:10,0,2_12_88_126_591,2019/10/11 2:10,0,0
2019/10/11 2:11,0,2_12_88_126_591,2019/10/11 2:11,0,0
2019/10/11 2:12,0,2_12_88_126_591,2019/10/11 2:12,0,0
2019/10/11 2:13,0,2_12_88_126_591,2019/10/11 2:13,0,0
2019/10/11 2:14,0,2_12_88_126_591,2019/10/11 2:14,0,0
2019/10/11 2:15,0,2_10_76_100_171,2019/10/11 2:15,0,0
2019/10/11 2:16,0,2_10_76_100_171,2019/10/11 2:16,0,0
2019/10/11 2:17,0,2_10_76_100_171,2019/10/11 2:17,0,0
2019/10/11 2:18,0,2_10_76_100_171,2019/10/11 2:18,0,0
2019/10/11 2:19,0,2_10_76_100_171,2019/10/11 2:19,0,0
2019/10/11 2:20,0,2_10_76_100_171,2019/10/11 2:20,0,0
2019/10/11 2:21,0,2_10_76_100_171,2019/10/11 2:21,0,0
2019/10/11 2:22,0,2_10_76_100_171,2019/10/11 2:22,0,0
2019/10/11 2:23,0,2_10_76_100_171,2019/10/11 2:23,0,0
2019/10/11 2:24,0,2_10_76_100_171,2019/10/11 2:24,0,0
2019/10/11 2:25,0,2_12_88_126_591,2019/10/11 2:25,0,0
2019/10/11 2:26,0,2_12_88_126_591,2019/10/11 2:26,0,0
2019/10/11 2:27,0,2_12_88_126_591,2019/10/11 2:27,0,0
2019/10/11 2:28,0,2_12_88_126_591,2019/10/11 2:28,0,0
2019/10/11 2:29,0,2_12_88_126_591,2019/10/11 2:29,0,0
2019/10/11 2:30,2,2_12_90_128_514,2019/10/11 2:30,2,2
2019/10/11 2:31,2,2_12_90_128_514,2019/10/11 2:31,2,2
2019/10/11 2:32,2,2_12_90_128_514,2019/10/11 2:32,2,2
2019/10/11 2:33,2,2_12_90_128_514,2019/10/11 2:33,2,2
2019/10/11 2:34,2,2_12_90_128_514,2019/10/11 2:34,2,2
2019/10/11 2:35,2,2_12_90_128_514,2019/10/11 2:35,2,2
2019/10/11 2:36,2,2_12_90_128_514,2019/10/11 2:36,2,2
2019/10/11 2:37,2,2_12_90_128_514,2019/10/11 2:37,2,2
2019/10/11 2:38,2,2_12_90_128_514,2019/10/11 2:38,2,2
2019/10/11 2:39,2,2_12_90_128_514,2019/10/11 2:39,2,2
2019/10/11 2:40,2,2_12_90_128_514,2019/10/11 2:40,2,2
2019/10/11 2:41,2,2_12_90_128_514,2019/10/11 2:41,2,2
2019/10/11 2:42,2,2_12_90_128_514,2019/10/11 2:42,2,2
2019/10/11 2:43,2,2_12_90_128_514,2019/10/11 2:43,2,2
2019/10/11 2:44,2,2_12_90_128_514,2019/10/11 2:44,2,2
2019/10/11 2:45,2,2_12_90_128_514,2019/10/11 2:45,2,2
2019/10/11 2:46,2,2_12_90_128_514,2019/10/11 2:46,2,2
2019/10/11 2:47,2,2_12_90_128_514,2019/10/11 2:47,2,2
2019/10/11 2:48,2,2_12_90_128_514,2019/10/11 2:48,2,2
2019/10/11 2:49,2,2_12_90_128_514,2019/10/11 2:49,2,2
2019/10/11 2:50,2,2_12_90_128_514,2019/10/11 2:50,2,2
2019/10/11 2:51,2,2_12_90_128_514,2019/10/11 2:51,2,2
2019/10/11 2:52,2,2_12_90_128_514,2019/10/11 2:52,2,2
2019/10/11 2:53,2,2_12_90_128_514,2019/10/11 2:53,2,2
2019/10/11 2:54,2,2_12_90_128_514,2019/10/11 2:54,2,2
2019/10/11 2:55,2,2_12_90_128_514,2019/10/11 2:55,2,2
2019/10/11 2:56,2,2_12_90_128_514,2019/10/11 2:56,2,2
2019/10/11 2:57,2,2_12_90_128_514,2019/10/11 2:57,2,2
2019/10/11 2:58,2,2_12_90_128_514,2019/10/11 2:58,2,2
2019/10/11 2:59,2,2_12_90_128_514,2019/10/11 2:59,2,2
2019/10/11 3:00,2,2_10_78_104_345,2019/10/11 3:00,2,2
2019/10/11 3:01,2,2_10_78_104_345,2019/10/11 3:01,2,2
2019/10/11 3:02,2,2_10_78_104_345,2019/10/11 3:02,2,2
2019/10/11 3:03,2,2_10_78_104_345,2019/10/11 3:03,2,2
2019/10/11 3:04,2,2_10_78_104_345,2019/10/11 3:04,2,2
2019/10/11 3:05,0,2_12_90_128_523,2019/10/11 3:05,0,0
2019/10/11 3:06,0,2_12_90_128_523,2019/10/11 3:06,0,0
2019/10/11 3:07,0,2_12_90_128_523,2019/10/11 3:07,0,0
2019/10/11 3:08,0,2_12_90_128_523,2019/10/11 3:08,0,0
2019/10/11 3:09,0,2_12_90_128_523,2019/10/11 3:09,0,0
2019/10/11 3:10,0,2_10_78_104_354,2019/10/11 3:10,0,0
2019/10/11 3:11,0,2_10_78_104_354,2019/10/11 3:11,0,0
2019/10/11 3:12,0,2_10_78_104_354,2019/10/11 3:12,0,0
2019/10/11 3:13,0,2_10_78_104_354,2019/10/11 3:13,0,0
2019/10/11 3:14,0,2_10_78_104_354,2019/10/11 3:14,0,0
2019/10/11 3:15,0,2_10_78_104_256,2019/10/11 3:15,0,0
2019/10/11 3:16,0,2_10_78_104_256,2019/10/11 3:16,0,0
2019/10/11 3:17,0,2_10_78_104_256,2019/10/11 3:17,0,0
2019/10/11 3:18,0,2_10_78_104_256,2019/10/11 3:18,0,0
2019/10/11 3:19,0,2_10_78_104_256,2019/10/11 3:19,0,0
2019/10/11 3:20,0,2_10_78_104_256,2019/10/11 3:20,0,0
2019/10/11 3:21,0,2_10_78_104_256,2019/10/11 3:21,0,0
2019/10/11 3:22,0,2_10_78_104_256,2019/10/11 3:22,0,0
2019/10/11 3:23,0,2_10_78_104_256,2019/10/11 3:23,0,0
2019/10/11 3:24,0,2_10_78_104_256,2019/10/11 3:24,0,0
2019/10/11 3:25,0,2_12_90_128_591,2019/10/11 3:25,0,0
2019/10/11 3:26,0,2_12_90_128_591,2019/10/11 3:26,0,0
2019/10/11 3:27,0,2_12_90_128_591,2019/10/11 3:27,0,0
2019/10/11 3:28,0,2_12_90_128_591,2019/10/11 3:28,0,0
2019/10/11 3:29,0,2_12_90_128_591,2019/10/11 3:29,0,0
2019/10/11 3:30,0,2_25_90_128_523,2019/10/11 3:30,0,0
2019/10/11 3:31,0,2_25_90_128_523,2019/10/11 3:31,0,0
2019/10/11 3:32,0,2_25_90_128_523,2019/10/11 3:32,0,0
2019/10/11 3:33,0,2_18,2019/10/11 3:33,0,0
2019/10/11 3:34,0,2_18,2019/10/11 3:34,0,0
2019/10/11 3:35,0,2_16_78_104_354,2019/10/11 3:35,0,0
2019/10/11 3:36,0,2_23,2019/10/11 3:36,0,0
2019/10/11 3:37,0,2_25_90_128_523,2019/10/11 3:37,0,0
2019/10/11 3:38,0,2_25_90_128_523,2019/10/11 3:38,0,0
2019/10/11 3:39,0,2_25_90_128_523,2019/10/11 3:39,0,0
